condo_name,developments,area,total_floor,room_size,bedroom,restroom,car_park,fitness,pool,distance_to_bts,distance_to_shopping,distance_to_trollway,security,price_facility,bonus_free_gift,cost_estimate,year,price
624 คอนโด,พฤกษา,จตุจักร,8,26,1,1,1,1,0,2.8,2.5,15,รปภ;คียการด์;กล้องวงจรปิด,12000,12000,250000,2556,1500000
Pause condo,ออริจิ้น,บางนา,8,26,1,1,0,1,1,0.8,4,1,รปภ;คียการด์;กล้องวงจรปิด,24000,40000,111000,2559,2400000
แซมเบอรเฌอ รามอินทรา,Sc asset,รามอินทรา,10,43,1,1,1,1,1,10,15,4,รปภ;คียการด์;กล้องวงจรปิด,24000,30000,120000,2561,3000000
เมโทร  สำโรง,เมโทร โปลิส,สำโรง,34,35,1,1,1,1,1,0.1,0.1,1,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,12000,30000,100000,2561,2700000
Porch condo,ริช พรอพเพอร์ตี้,หลักสี่,7,41,1,1,1,1,1,1,1,2,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,24000,20000,140000,2561,2800000
ONYX,แสนสิริ,พญาไท,26,34,1,1,1,1,1,0.24,0.15,7.4,รปภ;คียการด์;กล้องวงจรปิด,16320,150000,200000,2556,4480000
The Address,AP,สุขุมวิท 42,8,45,1,1,1,1,1,0.36,0.4,1.7,รปภ;คียการด์;กล้องวงจรปิด,19440,150000,250000,2552,4900000
The Crest พหลโยธิน11,เอสซี แอสเสท คอร์ปอเรชั่น,พญาไท,30,83,2,2,0,1,1,1.3,3.4,1,รปภ;กล้องวงจรปิด;ฟิตเนส,39480,370000,84668,2555,9900000
Noble Reform,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),พญาไท,22,37,1,1,0,1,1,0.35,1.3,7,กล้องวงจรปิด;สวนสาธารณะ,22200,0,128000,2555,7900000
Lumpini Ville Ratchaphruek-Bangwaek,บริษัท แอล.พี.เอ็น. ดีเวลลอปเมนท์ จำกัด (มหาชน),ภาษีเจริญ,8,22.56,1,1,0,1,1,4.8,4.2,18,กล้องวงจรปิด,9432,0,52000,2559,1350000
Bangkok Horizon Ratchada-Thaphra,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน),ธนบุรี,30,33,1,1,0,1,1,1.1,0.9,7.9,รปภ;กล้องวงจรปิด;ห้องยิมนาสติก,12276,0,69697,2557,2300000
เดอะทรัสต์ คอนโด แอท บีทีเอส เอราวัณ,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,เมืองสมุทรปราการ,30,28.5,1,1,0,1,1,0.5,5.9,0,คียการด์;กล้องวงจรปิด,15660,0,94178,2557,2750000
The Estate @ Thapra ดิ เอสเตท แอท ท่าพระ,บริษัท ดิเอสเตท จำกัด,บางกอกใหญ่,8,28.46,1,1,1,1,1,2.7,2.9,8.5,รปภ;คียการด์;กล้องวงจรปิด,10245,1460000,100000,2555,1650000
Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),บางกอกใหญ่,22,27,1,1,1,1,1,2.2,2,5.3,รปภ;กล้องวงจรปิด,24000,2900000,100000,2559,2900000
Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),บางกอกใหญ่,22,34,1,1,1,1,1,2.1,2,5.3,รปภ;กล้องวงจรปิด,18360,4491000,100000,2559,4491000
