condo,floor,all_floor,address,size,distance_to_bts,car_park,fitness,pool,distance_to_shopping,distance_to_trollway,security,price_facility,bedroom,restroom,price_a,owner,price_per_area,year,price
624 คอนโด,5,8,จตุจักร,26,2.8,1,มี,ไม่มี,2.5,15,รปภ;คียการด์;กล้องวงจรปิด,12000,1,1,12000,พฤกษา,250000,2556,1500000
Pause condo,6,8,บางนา,26,0.8,0.3,มี,มี,4,1,รปภ;คียการด์;กล้องวงจรปิด,24000,1,1,40000,ออริจิ้น,111000,2559,2400000
แซมเบอรเฌอ รามอินทรา,5,10,รามอินทรา,43,10,1,มี,มี,15,4,รปภ;คียการด์;กล้องวงจรปิด,24000,1,1,30000,Sc asset,120000,2561,3000000
เมโทร  สำโรง,17,34,สำโรง,35,0.1,1,มี,มี,0.1,1,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,12000,1,1,30000,เมโทร โปลิส,100000,2561,2700000
Porch condo,6,7,หลักสี่,41,1,1,มี,มี,1,2,รปภ;คียการด์;กล้องวงจรปิด;ระบบแสกนใบหน้า,24000,1,1,20000,ริช พรอพเพอร์ตี้,140000,2561,2800000
ONYX,8,26,พญาไท,34,0.24,1,มี,มี,0.15,7.4,รปภ;คียการด์;กล้องวงจรปิด,16320,1,1,150000,แสนสิริ,200000,2556,4480000
The Address,3,8,สุขุมวิท 42,45,0.36,1,มี,มี,0.4,1.7,รปภ;คียการด์;กล้องวงจรปิด,19440,1,1,150000,AP,250000,2552,4900000
The Crest พหลโยธิน11,17,30,พญาไท,83,1.3,0.8,มี,มี,3.4,1,รปภ;กล้องวงจรปิด;ฟิตเนส,39480,2,2,370000,เอสซี แอสเสท คอร์ปอเรชั่น,84668,2555,9900000
Noble Reform,12,22,พญาไท,37,0.35,0.6,มี,มี,1.3,7,กล้องวงจรปิด;สวนสาธารณะ,22200,1,1,0,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),128000,2555,7900000
Lumpini Ville Ratchaphruek-Bangwaek,4,8,ภาษีเจริญ,22.56,4.8,0.8,มี,มี,4.2,18,กล้องวงจรปิด,9432,1,1,0,บริษัท แอล.พี.เอ็น. ดีเวลลอปเมนท์ จำกัด (มหาชน),52000,2559,1350000
Bangkok Horizon Ratchada-Thaphra,8,30,ธนบุรี,33,1.1,0.8,มี,มี,0.9,7.9,รปภ;กล้องวงจรปิด;ห้องยิมนาสติก,12276,1,1,0,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน),69697,2557,2300000
เดอะทรัสต์ คอนโด แอท บีทีเอส เอราวัณ,28,30,เมืองสมุทรปราการ,28.5,0.5,0.8,มี,มี,5.9,0,คียการด์;กล้องวงจรปิด,15660,1,1,0,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,94178,2557,2750000
The Estate @ Thapra ดิ เอสเตท แอท ท่าพระ,8,8,บางกอกใหญ่,28.46,2.7,1,มี,มี,2.9,8.5,รปภ;คียการด์;กล้องวงจรปิด,10245,1,1,1460000,บริษัท ดิเอสเตท จำกัด,100000,2555,1650000
Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,2,22,บางกอกใหญ่,27,2.2,1,มี,มี,2,5.3,รปภ;กล้องวงจรปิด,24000,1,1,2900000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2559,2900000
Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,10,22,บางกอกใหญ่,34,2.1,1,มี,มี,2,5.3,รปภ;กล้องวงจรปิด,18360,1,1,4491000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2559,4491000
Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,22,22,บางกอกใหญ่,63,2.1,2,มี,มี,2,5.3,รปภ;กล้องวงจรปิด,36000,1,1,6500000,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,2559,6500000
The Prodigy,11,33,ภาษีเจริญ,34.5,6.7,1,มี,มี,1,6.7,รปภ;คียการด์,15000,1,1,2900000,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,120000,2558,2900000
The prodigy,6,33,ภาษีเจริญ,51,6.7,2,มี,มี,1,10,รปภ;คียการด์,15000,2,1,3978400,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,120000,2557,2900000
The Niche Bangkae,8,8,บางแค,27,1,1,มี,มี,1.5,13,รปภ;คียการด์;กล้องวงจรปิด,12312,1,1,1500000,SENA Development,170000,2553,1500000
The Niche Bangkae,5,8,บางแค,30.5,1,1,มี,มี,1.5,13,รปภ;คียการด์;กล้องวงจรปิด,13908,1,1,1960000,SENA Development,170000,2553,1960000
Fuse Sense Bangkae,11,24,บางแค,24.5,9.8,1,มี,มี,1.7,12.6,รปภ;คียการด์;กล้องวงจรปิด,12000,1,1,1290000,Pruksa Real Estate,170000,2558,1290000
Ease ,7,18,พระราม2,27,20,0.8,มี,มี,0.8,6.4,รปภ;คียการด์;กล้องวงจรปิด,4000,1,1,70000,LH,100000,2562,1800000
The lake metro park,1,8,ภาษีเจริญ,34,2,1,มี,มี,3,8,รปภ;คียการด์;กล้องวงจรปิด,12000,1,1,200000,PF,120000,2559,1800000
